time,std.indexOfSentinel,vector.indexOfSentinel,glibc strlen,vector.indexOfScalar,memchr
3792,1188,88,0,81,0
3808,1193,88,0,81,0
3824,1198,88,0,81,0
3840,1203,88,0,82,0
3856,1207,89,0,82,0
3872,1210,89,0,83,0
3888,1236,96,0,86,0
3904,1220,90,0,86,0
3920,1227,90,0,84,0
3936,1229,90,0,84,0
3952,1237,91,0,84,0
3968,1242,91,0,85,0
3984,1244,98,0,88,0
4000,1269,92,0,86,0
4016,1257,92,0,86,0
4032,1262,92,0,86,0
4048,1264,96,0,91,0
4064,1272,94,0,89,0
4080,1277,93,0,87,0
4096,1287,100,12,91,12
8192,2554,179,20,170,20
12288,3820,258,25,250,29
16384,5429,341,33,333,37
20480,6383,416,41,412,45
24576,7654,525,50,491,50
28672,8916,579,58,570,58
32768,10187,658,66,650,66
36864,11437,737,75,725,75
40960,12725,816,83,833,87
45056,13979,895,91,891,95
49152,15287,975,100,966,95
53248,16512,1054,108,1045,104
57344,18454,1133,112,1129,116
61440,19050,1216,120,1208,125
65536,20316,1291,129,1287,133
69632,21587,1370,137,1362,141
73728,22958,1450,145,1445,150
77824,24150,1562,154,1525,154
81920,25462,1608,162,1600,162
86016,26666,1683,170,1679,170
90112,28333,1766,179,1758,179
94208,29200,1845,187,1841,187
98304,30470,1929,191,1920,200
102400,32104,2008,204,1995,204
106496,33008,2083,208,2079,212
110592,34275,2162,216,2158,216
114688,35566,2245,229,2237,225
118784,36816,2329,237,2316,266
122880,38370,2404,241,2395,279
126976,39370,2487,250,2475,291
131072,40620,2562,258,2554,300
135168,41912,2687,270,2637,312
139264,43179,2833,283,2750,320
143360,44716,2812,291,2800,329
147456,45983,2912,304,2875,341
151552,47250,2991,308,2954,350
155648,48554,3062,312,3029,358
159744,50095,3137,325,3108,366
163840,50770,3216,341,3191,375
167936,52329,3287,345,3270,383
172032,53308,3375,345,3350,395
176128,54716,3470,358,3850,404
180224,56141,3541,362,3512,412
184320,57116,3625,370,3591,425
188416,58433,3700,375,3679,437
192512,59675,3783,383,3770,445
196608,61225,3862,395,3837,450
200704,62191,3941,400,3920,466
204800,63483,4312,408,3987,475
208896,64741,4104,412,4075,483
212992,66108,4195,425,4162,495
217088,67270,4870,433,4233,504
221184,68541,4354,437,4320,512
225280,70095,4441,445,4391,525
229376,71100,4520,454,4470,525
233472,72445,4591,462,4566,533
237568,73900,4645,470,4620,545
241664,74879,4725,479,4700,554
245760,76441,4800,487,4787,562
249856,77420,4887,491,4879,575
253952,78979,4958,495,4941,583
258048,79979,5045,529,5016,591
262144,81245,5120,516,5100,600
266240,83004,5204,525,5175,612
270336,84108,5279,533,5258,612
274432,85045,5370,541,5350,629
278528,86579,5441,545,5420,641
282624,87845,5508,558,5491,645
286720,89120,5600,570,5575,658
290816,90170,5654,570,5654,666
294912,91654,5750,583,5729,679
299008,92645,5833,595,5820,679
303104,94195,5912,595,5887,691
307200,95712,6008,604,5987,720
311296,96720,6070,612,6050,712
315392,98016,6145,620,6125,720
319488,99004,6241,629,6491,729
323584,100537,6320,637,6291,737
327680,101558,6395,645,6366,745
331776,103079,6462,650,6454,758
335872,104079,6558,654,6537,770
339968,105825,6633,666,6604,779
344064,106887,6708,675,6683,779
348160,107870,6787,683,6779,808
352256,109141,6858,687,6837,808
356352,110700,6941,700,6920,820
360448,111950,7025,708,7000,825
364544,113791,7100,716,7079,833
368640,114491,7191,720,7162,841
372736,115979,7254,729,7600,850
376832,117050,7341,737,7320,858
380928,118304,7412,750,7400,866
385024,119341,7500,758,7495,891
389120,120841,7587,762,7562,891
393216,122104,7654,770,7637,900
397312,123104,7750,791,7987,908
401408,124858,7816,787,7791,916
405504,125916,11508,800,8141,925
409600,127187,7970,800,7962,933
413696,128470,8054,808,8037,945
417792,129445,8137,820,8120,954
421888,130991,8212,829,8195,962
425984,132258,8291,833,8266,970
430080,134016,8366,841,8350,983
434176,134795,8450,850,8429,991
438272,136062,8529,858,8504,1004
442368,137358,8612,862,8583,1012
446464,138337,8691,870,8662,1020
450560,139870,8766,883,8745,1025
454656,143437,8845,887,9162,1037
458752,142445,8925,895,8904,1050
462848,143679,9012,904,8983,1058
466944,144962,9083,912,9062,1062
471040,146216,9166,920,9145,1075
475136,147216,9241,929,9225,1083
479232,149204,9400,966,9716,1095
483328,161979,9420,945,9412,1112
487424,151287,9483,954,9454,1116
491520,152320,9579,958,9545,1120
495616,153816,9637,970,9616,1133
499712,155100,9716,975,9700,1141
503808,156370,9795,983,9770,1154
507904,158200,9858,991,9854,1154
512000,159304,9970,1000,9941,1166
